ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,PRODUCTLINE,MSRP,PRODUCTCODE,COUNTRY,DEALSIZE
10107,30,95.7,2,2871,24-02-2018,Motorcycles,95,S10_1678,USA,Small
10121,34,81.35,5,2765.9,07-05-2018,Motorcycles,95,S10_1678,France,Small
10134,41,94.74,2,3884.34,01-07-2018,Motorcycles,95,S10_1678,France,Medium
10145,45,83.26,6,3746.7,25-08-2018,Motorcycles,95,S10_1678,USA,Medium
10168,36,96.66,1,3479.76,28-10-2018,Motorcycles,95,S10_1678,USA,Medium
10180,29,86.13,9,2497.77,11-11-2018,Motorcycles,95,S10_1678,France,Small
10188,48,114.84,1,5512.32,18-11-2018,Motorcycles,95,S10_1678,Norway,Medium
10211,41,114.84,14,4708.44,15-01-2019,Motorcycles,95,S10_1678,France,Medium
10223,37,107.18,1,3965.66,20-02-2019,Motorcycles,95,S10_1678,Australia,Medium
10237,23,101.44,7,2333.12,05-04-2019,Motorcycles,95,S10_1678,USA,Small
10251,28,113.88,2,3188.64,18-05-2019,Motorcycles,95,S10_1678,USA,Medium
10263,34,108.14,2,3676.76,28-06-2019,Motorcycles,95,S10_1678,USA,Medium
10275,45,92.83,1,4177.35,23-07-2019,Motorcycles,95,S10_1678,France,Medium
10285,36,113.88,6,4099.68,27-08-2019,Motorcycles,95,S10_1678,USA,Medium
10299,23,112.93,9,2597.39,30-09-2019,Motorcycles,95,S10_1678,Finland,Small
10309,41,107.18,5,4394.38,15-10-2019,Motorcycles,95,S10_1678,Norway,Medium
10318,46,94.74,1,4358.04,02-11-2019,Motorcycles,95,S10_1678,USA,Medium
10329,42,104.67,1,4396.14,15-11-2019,Motorcycles,95,S10_1678,USA,Medium
10341,41,188.73,9,7737.93,24-11-2019,Motorcycles,95,S10_1678,Austria,Large
10361,20,72.55,13,1451,17-12-2019,Motorcycles,95,S10_1678,Australia,Small
10375,21,34.91,12,733.11,03-02-2020,Motorcycles,95,S10_1678,France,Small
10388,42,76.36,4,3207.12,03-03-2020,Motorcycles,95,S10_1678,USA,Medium
10403,24,101.44,7,2434.56,08-04-2020,Motorcycles,95,S10_1678,UK,Small
10417,66,113.88,2,7516.08,13-05-2020,Motorcycles,95,S10_1678,Spain,Large
10103,26,207.87,11,5404.62,29-01-2018,Classic Cars,214,S10_1949,Norway,Medium
10112,29,248.59,1,7209.11,24-03-2018,Classic Cars,214,S10_1949,Sweden,Large
10126,38,192.87,11,7329.06,28-05-2018,Classic Cars,214,S10_1949,Spain,Large
10140,37,199.3,11,7374.1,24-07-2018,Classic Cars,214,S10_1949,USA,Large
10150,45,244.3,8,10993.5,19-09-2018,Classic Cars,214,S10_1949,Singapore,Large
10163,21,231.44,1,4860.24,20-10-2018,Classic Cars,214,S10_1949,USA,Medium
10174,34,235.73,4,8014.82,06-11-2018,Classic Cars,214,S10_1949,Australia,Large
10183,23,233.59,8,5372.57,13-11-2018,Classic Cars,214,S10_1949,USA,Medium
10194,42,173.58,11,7290.36,25-11-2018,Classic Cars,214,S10_1949,France,Large
10206,47,192.87,6,9064.89,05-12-2018,Classic Cars,214,S10_1949,Canada,Large
10215,35,173.58,3,6075.3,29-01-2019,Classic Cars,214,S10_1949,USA,Medium
10228,29,222.87,2,6463.23,10-03-2019,Classic Cars,214,S10_1949,USA,Medium
10245,34,180.01,9,6120.34,04-05-2019,Classic Cars,214,S10_1949,USA,Medium
10258,32,240.02,6,7680.64,15-06-2019,Classic Cars,214,S10_1949,Japan,Large
10270,21,233.59,9,4905.39,19-07-2019,Classic Cars,214,S10_1949,Australia,Medium
10280,34,235.73,2,8014.82,17-08-2019,Classic Cars,214,S10_1949,Italy,Large
10291,37,192.87,11,7136.19,08-09-2019,Classic Cars,214,S10_1949,Sweden,Large
